tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8940041'. Expected 'lv.s        S501, 0x40($a0)', got 'lv.s        0x34, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8950041'. Expected 'lv.s        S511, 0x40($a0)', got 'lv.s        0x35, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8960041'. Expected 'lv.s        S521, 0x40($a0)', got 'lv.s        0x36, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8970041'. Expected 'lv.s        S531, 0x40($a0)', got 'lv.s        0x37, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8980041'. Expected 'lv.s        S601, 0x40($a0)', got 'lv.s        0x38, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8990041'. Expected 'lv.s        S611, 0x40($a0)', got 'lv.s        0x39, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89A0041'. Expected 'lv.s        S621, 0x40($a0)', got 'lv.s        0x3A, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89B0041'. Expected 'lv.s        S631, 0x40($a0)', got 'lv.s        0x3B, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89C0041'. Expected 'lv.s        S701, 0x40($a0)', got 'lv.s        0x3C, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89D0041'. Expected 'lv.s        S711, 0x40($a0)', got 'lv.s        0x3D, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89E0041'. Expected 'lv.s        S721, 0x40($a0)', got 'lv.s        0x3E, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89F0041'. Expected 'lv.s        S731, 0x40($a0)', got 'lv.s        0x3F, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8800042'. Expected 'lv.s        S002, 0x40($a0)', got 'lv.s        0x40, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8810042'. Expected 'lv.s        S012, 0x40($a0)', got 'lv.s        0x41, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8820042'. Expected 'lv.s        S022, 0x40($a0)', got 'lv.s        0x42, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8830042'. Expected 'lv.s        S032, 0x40($a0)', got 'lv.s        0x43, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8840042'. Expected 'lv.s        S102, 0x40($a0)', got 'lv.s        0x44, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8850042'. Expected 'lv.s        S112, 0x40($a0)', got 'lv.s        0x45, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8860042'. Expected 'lv.s        S122, 0x40($a0)', got 'lv.s        0x46, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8870042'. Expected 'lv.s        S132, 0x40($a0)', got 'lv.s        0x47, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8880042'. Expected 'lv.s        S202, 0x40($a0)', got 'lv.s        0x48, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8890042'. Expected 'lv.s        S212, 0x40($a0)', got 'lv.s        0x49, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88A0042'. Expected 'lv.s        S222, 0x40($a0)', got 'lv.s        0x4A, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88B0042'. Expected 'lv.s        S232, 0x40($a0)', got 'lv.s        0x4B, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88C0042'. Expected 'lv.s        S302, 0x40($a0)', got 'lv.s        0x4C, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88D0042'. Expected 'lv.s        S312, 0x40($a0)', got 'lv.s        0x4D, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88E0042'. Expected 'lv.s        S322, 0x40($a0)', got 'lv.s        0x4E, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88F0042'. Expected 'lv.s        S332, 0x40($a0)', got 'lv.s        0x4F, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8900042'. Expected 'lv.s        S402, 0x40($a0)', got 'lv.s        0x50, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8910042'. Expected 'lv.s        S412, 0x40($a0)', got 'lv.s        0x51, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8920042'. Expected 'lv.s        S422, 0x40($a0)', got 'lv.s        0x52, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8930042'. Expected 'lv.s        S432, 0x40($a0)', got 'lv.s        0x53, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8940042'. Expected 'lv.s        S502, 0x40($a0)', got 'lv.s        0x54, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8950042'. Expected 'lv.s        S512, 0x40($a0)', got 'lv.s        0x55, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8960042'. Expected 'lv.s        S522, 0x40($a0)', got 'lv.s        0x56, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8970042'. Expected 'lv.s        S532, 0x40($a0)', got 'lv.s        0x57, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8980042'. Expected 'lv.s        S602, 0x40($a0)', got 'lv.s        0x58, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8990042'. Expected 'lv.s        S612, 0x40($a0)', got 'lv.s        0x59, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89A0042'. Expected 'lv.s        S622, 0x40($a0)', got 'lv.s        0x5A, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89B0042'. Expected 'lv.s        S632, 0x40($a0)', got 'lv.s        0x5B, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89C0042'. Expected 'lv.s        S702, 0x40($a0)', got 'lv.s        0x5C, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89D0042'. Expected 'lv.s        S712, 0x40($a0)', got 'lv.s        0x5D, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89E0042'. Expected 'lv.s        S722, 0x40($a0)', got 'lv.s        0x5E, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89F0042'. Expected 'lv.s        S732, 0x40($a0)', got 'lv.s        0x5F, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8800043'. Expected 'lv.s        S003, 0x40($a0)', got 'lv.s        0x60, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8810043'. Expected 'lv.s        S013, 0x40($a0)', got 'lv.s        0x61, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8820043'. Expected 'lv.s        S023, 0x40($a0)', got 'lv.s        0x62, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8830043'. Expected 'lv.s        S033, 0x40($a0)', got 'lv.s        0x63, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8840043'. Expected 'lv.s        S103, 0x40($a0)', got 'lv.s        0x64, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8850043'. Expected 'lv.s        S113, 0x40($a0)', got 'lv.s        0x65, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8860043'. Expected 'lv.s        S123, 0x40($a0)', got 'lv.s        0x66, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8870043'. Expected 'lv.s        S133, 0x40($a0)', got 'lv.s        0x67, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8880043'. Expected 'lv.s        S203, 0x40($a0)', got 'lv.s        0x68, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8890043'. Expected 'lv.s        S213, 0x40($a0)', got 'lv.s        0x69, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88A0043'. Expected 'lv.s        S223, 0x40($a0)', got 'lv.s        0x6A, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88B0043'. Expected 'lv.s        S233, 0x40($a0)', got 'lv.s        0x6B, 0x40($a0)'
